Date,Expiry,Strike Price,Underlying Value,Spot_At_Expiry,Close,Realized_Payoff,PnL,Viable
2025-03-27,2025-04-17,22500.0,23591.95,23851.65,34.65,0.0,-34.65,False
2025-03-27,2025-04-17,22450.0,23591.95,23851.65,28.3,0.0,-28.3,False
2025-03-27,2025-04-17,21200.0,23591.95,23851.65,8.05,0.0,-8.05,False
2025-03-27,2025-04-17,23750.0,23591.95,23851.65,283.2,0.0,-283.2,False
2025-03-27,2025-04-17,23700.0,23591.95,23851.65,270.15,0.0,-270.15,False
2025-03-27,2025-04-17,21150.0,23591.95,23851.65,10.45,0.0,-10.45,False
2025-03-27,2025-04-17,21100.0,23591.95,23851.65,8.9,0.0,-8.9,False
2025-03-27,2025-04-17,23650.0,23591.95,23851.65,240.0,0.0,-240.0,False
2025-03-27,2025-04-17,24100.0,23591.95,23851.65,441.1,248.34999999999854,-192.75000000000148,False
2025-03-27,2025-04-17,21300.0,23591.95,23851.65,12.0,0.0,-12.0,False
2025-03-27,2025-04-17,25400.0,23591.95,23851.65,2844.9,1548.3499999999985,-1296.5500000000015,False
2025-03-27,2025-04-17,25300.0,23591.95,23851.65,2746.05,1448.3499999999985,-1297.7000000000016,False
2025-03-27,2025-04-17,25250.0,23591.95,23851.65,2696.7,1398.3499999999985,-1298.3500000000013,False
2025-03-27,2025-04-17,25200.0,23591.95,23851.65,2647.4,1348.3499999999985,-1299.0500000000015,False
2025-03-27,2025-04-17,25150.0,23591.95,23851.65,2598.15,1298.3499999999985,-1299.8000000000015,False
2025-03-27,2025-04-17,25100.0,23591.95,23851.65,2548.95,1248.3499999999985,-1300.6000000000013,False
2025-03-27,2025-04-17,25050.0,23591.95,23851.65,2499.8,1198.3499999999985,-1301.4500000000016,False
2025-03-27,2025-04-17,25000.0,23591.95,23851.65,2450.7,1148.3499999999985,-1302.3500000000013,False
2025-03-27,2025-04-17,24950.0,23591.95,23851.65,2401.65,1098.3499999999985,-1303.3000000000015,False
2025-03-27,2025-04-17,24900.0,23591.95,23851.65,2352.75,1048.3499999999985,-1304.4000000000015,False
2025-03-27,2025-04-17,24850.0,23591.95,23851.65,2303.85,998.3499999999985,-1305.5000000000014,False
2025-03-27,2025-04-17,24800.0,23591.95,23851.65,2255.1,948.3499999999985,-1306.7500000000014,False
2025-03-27,2025-04-17,24750.0,23591.95,23851.65,2206.45,898.3499999999985,-1308.1000000000013,False
2025-03-27,2025-04-17,25350.0,23591.95,23851.65,2795.45,1498.3499999999985,-1297.1000000000013,False
2025-03-27,2025-04-17,21350.0,23591.95,23851.65,11.95,0.0,-11.95,False
2025-03-27,2025-04-17,22550.0,23591.95,23851.65,34.0,0.0,-34.0,False
2025-03-27,2025-04-17,23900.0,23591.95,23851.65,370.4,48.349999999998545,-322.05000000000143,False
2025-03-26,2025-04-17,23150.0,23486.85,23851.65,126.15,0.0,-126.15,False
2025-03-26,2025-04-17,21950.0,23486.85,23851.65,19.8,0.0,-19.8,False
2025-03-26,2025-04-17,21900.0,23486.85,23851.65,20.75,0.0,-20.75,False
2025-03-26,2025-04-17,23100.0,23486.85,23851.65,116.8,0.0,-116.8,False
2025-03-26,2025-04-17,23050.0,23486.85,23851.65,87.4,0.0,-87.4,False
2025-03-27,2025-04-17,21850.0,23591.95,23851.65,15.7,0.0,-15.7,False
2025-03-27,2025-04-17,21800.0,23591.95,23851.65,15.2,0.0,-15.2,False
2025-03-27,2025-04-17,23000.0,23591.95,23851.65,78.1,0.0,-78.1,False
2025-03-27,2025-04-17,22950.0,23591.95,23851.65,78.3,0.0,-78.3,False
2025-03-27,2025-04-17,21750.0,23591.95,23851.65,17.05,0.0,-17.05,False
2025-03-27,2025-04-17,22900.0,23591.95,23851.65,64.55,0.0,-64.55,False
2025-03-27,2025-04-17,21700.0,23591.95,23851.65,15.95,0.0,-15.95,False
2025-03-27,2025-04-17,21650.0,23591.95,23851.65,14.35,0.0,-14.35,False
2025-03-27,2025-04-17,22850.0,23591.95,23851.65,58.5,0.0,-58.5,False
2025-03-27,2025-04-17,22800.0,23591.95,23851.65,54.3,0.0,-54.3,False
2025-03-27,2025-04-17,21600.0,23591.95,23851.65,12.3,0.0,-12.3,False
2025-03-27,2025-04-17,21550.0,23591.95,23851.65,13.45,0.0,-13.45,False
2025-03-27,2025-04-17,22750.0,23591.95,23851.65,65.0,0.0,-65.0,False
2025-03-27,2025-04-17,22700.0,23591.95,23851.65,46.9,0.0,-46.9,False
